,Member,Party Name,Constituency
207,"Kidwai,Smt. Mohsina",Congress,Azamgarh (Uttar Pradesh )
208,"Kishore Lal,Shri",Janata Party,East Delhi (NCT of Delhi )
209,"Kisku,Shri Jadunath",CPI(M),Jhargram-ST (West Bengal )
210,"Kodiyan,Shri P.K.",CP,Adoor-SC (Kerala )
211,"Kolanthaivelu,Shri R.",AIADMK,Tiruchengode (Tamil Nadu )
212,"Kolur,Shri Rajshekhar",Congress,Raichur (Karnataka )
213,"Kom,Shri Lyahanu Shidva",CPI(M),Dahanu-ST (Maharashtra )
214,"Kosalram,Shri K.T.",Congress,Tiruchendur (Tamil Nadu )
215,"Kotrashetti,Shri Appaya Kravirappa",Congress,Belgaum (Karnataka )
216,"Krishan Kant,Shri",Janata Party,Chandigarh (Chandigarh )
217,"Krishna Murthy,Shri Kusuma",Congress,Amalapuram-SC (Andhra Pradesh )
218,"Krishnan,Shri G.Y.",Congress,Kolar-SC (Karnataka )
219,"Krishnan,Smt. Parvathi",CP,Coimbatore (Tamil Nadu )
220,"Krishnappa,Shri M.V.",Congress,Chikballapur (Karnataka )
221,"Kudanthai Ramalingam N.,Shri",Congress,Mayuram-SC (Tamil Nadu )
222,"Kundu,Shri Samarendra",Janata Party,Balasore (Odisha )
223,"Kunjumbu,Shri K.",Congress,Ottapalam-SC (Kerala )
224,"Kureel,Shri Jwala Prasad",Janata Party,Ghatampur-SC (Uttar Pradesh )
225,"Kureel,Shri Ram Lal",Janata Party,Mohanlalganj-SC (Uttar Pradesh )
226,"Kushwaha,Shri Ram Naresh",Janata Party,Salempur (Uttar Pradesh )
227,"Lakkappa,Shri K.",Congress,Tumkur (Karnataka )
228,"Lakshminarayanan,Shri M.R.",Congress,Tindivanam (Tamil Nadu )
229,"Lal,Shri Shyam Sunder",Janata Party,Bayana-SC (Rajasthan )
230,"Laljibhai,Shri Meena",Janata Party,Salumber-ST (Rajasthan )
231,"Lalu Prasad,Shri",Janata Party,Chapra (Bihar )
232,"Laskar,Shri Nihar Ranjan",Congress,Karimganj-SC (Assam )
233,"Liaquat Husain,Shri Syed",Janata Party,Fatehpur (Uttar Pradesh )
234,"Limaye,Shri Madhu",Janata Party,Banka (Bihar )
235,"Lyngdoh,Shri Hoping Stone",Ind.,Shillong (Meghalaya )
236,"Machhand,Shri Raghubir Singh",Janata Party,Bhind (Madhya Pradesh )
237,"Magar,Shri Annasaheb",Congress,Khed (Maharashtra )
238,"Mahale,Shri Haribhau",Janata Party,Malegaon-ST (Maharashtra )
239,"Mahata,Shri Chitta Ranjan",AIFB,Purulia (West Bengal )
240,"Mahi Lal,Shri",Janata Party,Bijnor-SC (Uttar Pradesh )
241,"Mahishi,Dr. Sarojini bindurao",Congress,Dharwad North (Karnataka )
242,"Mahla,Shri Kanhaiyalal",Janata Party,Jhunjhunu (Rajasthan )
243,"Maiti,Kumari Abha",Janata Party,Panskura (West Bengal )
244,"Malhotra,Prof. Vijay Kumar",Janata Party,South Delhi (NCT of Delhi )
245,"Malik,Shri Mukhtiar Singh",Janata Party,Sonepat (Haryana )
246,"Mallanna,Shri K.",Congress,Chitradurga (Karnataka )
247,"Mallick,Shri Rama Chandra",Janata Party,Jajpur-SC (Odisha )
248,"Mallikarjun,Dr.",Congress,Medak (Andhra Pradesh )
249,"Mandal,Prof. Mukunda Kumar",CPI(M),Mathurapur-SC (West Bengal )
250,"Mandal,Shri Dhanik Lal",Janata Party,Jhanjharpur (Bihar )
251,"Mandal,Shri Bindhyeshwari Prasad",Janata Party,Madhepura (Bihar )
252,"Mane,Shri Rajaram Alias Balasaheb Shankarrao",Congress,Ichalkaranji (Maharashtra )
253,"Mangaldeo,Shri Visharad",Janata Party,Akbarpur-SC (Uttar Pradesh )
254,"Mankar,Shri Laxmanrao",Janata Party,Bhandara (Maharashtra )
255,"Manohar Lal,Shri",Janata Party,Kanpur (Uttar Pradesh )
256,"Masood,Shri Rasheed",Janata Party,Saharanpur (Uttar Pradesh )
257,"Mathew,Shri George.J",KEC,Muvattupuzha (Kerala )
258,"Mathur,Shri Jagdish Prasad",Janata Party,Sikar (Rajasthan )
259,"Mavalankar,Shri Purushottam Ganesh",Unattached,Gandhinagar (Gujarat )
260,"Mayathever,Shri K.",AIADMK,Dindigul (Tamil Nadu )
261,"Meerza,Shri Kazim Ali",Janata Party,Murshidabad (West Bengal )
262,"Mehta,Shri Prasannbhai",Janata Party,Bhavnagar (Gujarat )
263,"Mehta,Prof. Ajit Kumar",Janata Party,Samastipur (Bihar )
264,"Mhalgi,Shri Ramchandra Kashinath",Janata Party,Thane (Maharashtra )
265,"Mirdha,Shri Nathu Ram",Congress,Nagaur (Rajasthan )
266,"Miri,Shri Govindram",Janata Party,Sarangarh-SC (Madhya Pradesh )
267,"Mishra,Shri Gargi Shankar",Congress,Chhindwara (Madhya Pradesh )
268,"Mishra,Shri Janeshwar",Janata Party,Allahabad (Uttar Pradesh )
269,"Mishra,Shri Shyam Nandan",Janata Party,Begusarai (Bihar )
270,"Modak,Shri Bijoy Krishna",CPI(M),Hooghly (West Bengal )
271,"Mohanrangam,Shri R.",AIADMK,Chengalpattu (Tamil Nadu )
272,"Mohinder Singh,Shri",Janata Party,Karnal (Haryana )
273,"Mohsin,Shri Fakruddin Husseinsad",Congress,Dharwad South (Karnataka )
274,"Mondal,Dr. Bijoy Kumar",Janata Party,Bankura (West Bengal )
275,"Mrityunjay Prasad,Shri",Janata Party,Siwan (Bihar )
276,"Muhammad,Dr. V.A. Seyid",Congress,Calicut (Kerala )
277,"Mukherjee,Shri Samar",CPI(M),Howrah (West Bengal )
278,"Multan Singh,Choudhary",Janata Party,Jalesar (Uttar Pradesh )
279,"Munda,Shri Kariya",Janata Party,Khunti-ST (Bihar )
280,"Munda,Shri Govinda",Janata Party,Keonjhar-ST (Odisha )
281,"Murahari,Shri Godey",Congress,Vijayawada (Andhra Pradesh )
282,"Murmu,Father Anthony",Janata Party,Rajmahal-ST (Bihar )
283,"Murthy,Shri M.V.Chandrashekhara",Congress,Kanakapura (Karnataka )
284,"Murugaiyan,Shri Sithamalli Govindan",CP,Nagapattinam-SC (Tamil Nadu )
285,"Murugesan,Shri Arasan",AIADMK,Chidambaram-SC (Tamil Nadu )
286,"Nahar,Shri Bijoy Singh",Janata Party,Calcutta North West (West Bengal )
287,"Naidu,Shri P. Rajagopal",Congress,Chittoor (Andhra Pradesh )
288,"Naik,Shri Surup Singh Hirya",Congress,Nandurbar-ST (Maharashtra )
289,"Naik,Shri Vasantrao Phul Singh",Congress,Washim (Maharashtra )
290,"Nair,Shri B.K.",Congress,Mavelikara (Kerala )
291,"Nair,Shri M.N. Govindan",CP,Trivandrum (Kerala )
292,"Nair,Shri N. Sreekantan",RSP,Quilon (Kerala )
293,"Narayana,Shri K.S.",Congress,Hyderabad (Andhra Pradesh )
294,"Narendra Singh,Shri",Janata Party,Damoh (Madhya Pradesh )
295,"Narsingh,Shri",Janata Party,Chandauli (Uttar Pradesh )
296,"Narzary,Shri Charan",Ind.,Kokrajhar-ST (Assam )
297,"Nathu Singh,Shri",Janata Party,Dausa (Rajasthan )
298,"Nathuni Ram,Shri",Janata Party,Nawada-SC (Bihar )
299,"Nathwani,Shri Narendra Paragji",Janata Party,Junagadh (Gujarat )
300,"Nayak,Shri Laxmi Narayan",Janata Party,Khajuraho (Madhya Pradesh )
301,"Nayar,Dr. Sushila",Janata Party,Jhansi (Uttar Pradesh )
302,"Negi,Shri Trepan Singh",Janata Party,Tehri Garhwal (Uttar Pradesh )
303,"Onkar Singh,Shri J.S.",Janata Party,Budaun (Uttar Pradesh )
304,"Oraon,Shri Laloo",Janata Party,Lohardaga-ST (Bihar )
305,"Pai,Shri T.A.",Congress,Udipi (Karnataka )
306,"Pajanor,Shri Aravinda Bala",AIADMK,Pondicherry (Pondicherry )
307,"Pandey,Dr. Laxminarayan",Janata Party,Mandsaur (Madhya Pradesh )
308,"Pandey,Shri Ambika Prasad",Janata Party,Banda (Uttar Pradesh )
309,"Pandit,Dr. Vasant Kumar",Janata Party,Raigarh-ST (Madhya Pradesh )
310,"Paraste,Shri Dalpat Singh",Janata Party,Shahdol-ST (Madhya Pradesh )
311,"Parmai Lal,Shri",Janata Party,Hardoi-SC (Uttar Pradesh )
312,"Parmar,Shri Natverlal Bhagvandas",Janata Party,Dhandhuka-SC (Gujarat )
313,"Parthasarthy,Shri Pothuraju",Congress,Rajampet (Andhra Pradesh )
314,"Parulekar,Shri Bapu Saheb",Janata Party,Ratnagiri (Maharashtra )
315,"Parvati Devi,Smt.",Congress,Ladakh (Jammu and Kashmir )
316,"Paswan,Shri Ram Vilas",Janata Party,Hajipur-SC (Bihar )
317,"Patel,Shri Nanubhai Nichhabhai",Janata Party,Bulsar-ST (Gujarat )
318,"Patel,Shri Ahmed Mohammed",Congress,Broach (Gujarat )
319,"Patel,Shri Dharmasinhbhai Dahyabhai",Janata Party,Porbandar (Gujarat )
320,"Patel,Kumari Manibehn Vallabhbhai",Janata Party,Mehsana (Gujarat )
321,"Patel,Shri H.M.",Janata Party,Sabarkantha (Gujarat )
322,"Patel,Shri Raubhai Ramjibhai",Congress,Dadra and Nagar Haveli-ST (Dadra and Nagar Haveli )
323,"Patel,Shri Meetha Lal",Janata Party,Sawai Madhopur-ST (Rajasthan )
324,"Patidar,Shri Rameshwar",Janata Party,Khargone (Madhya Pradesh )
325,"Patil,Shri Chandrakant",Janata Party,Hingoli (Maharashtra )
326,"Patil,Shri Dinkar Babu",PAWPI,Kulaba (Maharashtra )
327,"Patil,Shri Sonusingh",Janata Party,Erandol (Maharashtra )
328,"Patil,Shri Udhavrao Sahebrao",PAWPI,Latur (Maharashtra )
329,"Patil,Shri Vijay Kumar Naval",Congress,Dhulia (Maharashtra )
330,"Patil,Shri Balasaheb Vikhe",Congress,Kopargaon (Maharashtra )
331,"Patil,Shri Sanganagouda Basanagouda",Congress,Bagalkot (Karnataka )
332,"Patnaik,Shri Biju",Janata Party,Kendrapara (Odisha )
333,"Patnaik,Shri Sivaji",CPI(M),Bhubaneswar (Odisha )
334,"Pattabhi Rama Rao,Shri S.B.P.",Congress,Rajahmundry (Andhra Pradesh )
335,"Patwary,Shri Hira Lal H.P.",Janata Party,Mangaldoi (Assam )
336,"Periasamy,Dr. P.V.",AIADMK,Krishnagiri (Tamil Nadu )
337,"Pertin,Shri Bakin",Ind.,Arunachal East (Arunachal Pradesh )
338,"Phirangi Prasad,Visharad,Shri",Janata Party,Bansgaon-SC (Uttar Pradesh )
339,"Pipil,Shri Mohan Lal",Janata Party,Khurja-SC (Uttar Pradesh )
340,"Poojary,Shri Janardhana",Congress,Mangalore (Karnataka )
341,"Pradhan,Shri Gananath",Janata Party,Sambalpur (Odisha )
342,"Pradhan,Shri Pabitra Mohan",Janata Party,Deogarh (Odisha )
343,"Pradhani,Shri Khagapati",Congress,Nowrangpur-ST (Odisha )
344,"Prakash,Shri Kailash",Janata Party,Meerut (Uttar Pradesh )
345,"Prasad,Shri Birendra",Janata Party,Nalanda (Bihar )
346,"Pullaiah,Shri Darur",Congress,Anantapur (Andhra Pradesh )
347,"Qureshi,Shri Mohamed Shafi",Congress,Anantnag (Jammu and Kashmir )
